site name,AOD Latitude,AOD Longitude,firstdate,datetime,AerosolOpticalThicknessPassedThresholdMean,AerosolModelMW,UVAerosolIndex,VISAerosolIndex,AerosolOpticalThicknessPassedThresholdStd,SolarZenithAngle,TerrainReflectivity,ViewingZenithAngle,SingleScatteringAlbedoPassedThresholdMean,SingleScatteringAlbedoPassedThresholdStd,AerosolOpticalThicknessMW0,AerosolOpticalThicknessMW1,AerosolOpticalThicknessMW2,AerosolOpticalThicknessMW3,AerosolOpticalThicknessMW4,SingleScatteringAlbedoMW0,SingleScatteringAlbedoMW1,SingleScatteringAlbedoMW2,SingleScatteringAlbedoMW3,SingleScatteringAlbedoMW4
Sabana,-18.375,-65.625,2017-02-17 00:00:00,2017-02-22 13:14:00,nan,nan,-0.32,-15.38,nan,18.54,37,52.549,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-02-18 00:00:00,2017-02-22 13:13:00,nan,nan,3.69,-6.28,nan,28.496,37,28.728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-02-18 00:00:00,2017-02-22 13:13:00,nan,nan,3.69,-6.28,nan,28.496,37,28.728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-02-19 00:00:00,2017-02-22 13:11:00,nan,nan,-0.59,-7.87,nan,16.19,37,63.278,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-02-19 00:00:00,2017-02-22 13:11:00,nan,nan,-0.59,-7.87,nan,16.19,37,63.278,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-02-20 00:00:00,2017-02-22 13:13:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-02-20 00:00:00,2017-02-22 13:13:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-02-21 00:00:00,2017-02-23 03:06:00,nan,nan,0.07,-7.87,nan,36.345,43,65.534,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sabana,-18.375,-65.625,2017-02-21 00:00:00,2017-02-23 03:06:00,nan,nan,0.07,-7.87,nan,36.345,43,65.534,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QS  and Icacos,-18.375,-65.875,2017-02-22 00:00:00,2017-02-25 03:22:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
